key,en,es,fr,pt,zh
title,Zoe's portfolio,Portfolio de Zoe,Portfolio de Zoe,Portfolio da Zoe,赵伊的作品集
home,Home,Inicio,Accueil,Inicio,首页
projects,Projects,Proyectos,Projets,Projetos,项目
resume,Resume,Curriculum,CV,Curriculo,简历
home2,Home,Inicio,Accueil,Inicio,首页
projects2,Projects,Proyectos,Projets,Projetos,项目
resume2,Resume,Curriculum,CV,Curriculo,简历
hello,Hello!,¡Hola!,Bonjour!,Ola!,你好！
aboutMe,"I'm a passionate software developer and engineer with a creative approach to problem-solving. I'm proactive and a fast learner, standing out for my ability to exceed expectations and make the most of the tools at my disposal.","Soy una apasionada desarrolladora e ingeniera de software con un enfoque creativo para resolver problemas. Soy proactiva y aprendo con rapidez, me destaco por mi habilidad para superar expectativas y aprovechar al máximo las herramientas a mi alcance.","Je suis une développeuse et ingénieure logicielle passionnée, avec une approche créative pour résoudre les problèmes. Je suis proactive et j'apprends rapidement, me distinguant par ma capacité à dépasser les attentes et à tirer le meilleur parti des outils à ma disposition.","Sou uma desenvolvedora e engenheira de software apaixonada, com uma abordagem criativa para resolver problemas. Sou proativa e aprendo rápido, destacando-me pela minha capacidade de superar expectativas e aproveitar ao máximo as ferramentas ao meu alcance.","我是一名充满激情的软件开发工程师，擅长用创造性的方法解决问题。我积极主动，学习能力强，以超越期望并充分利用手头工具的能力而脱颖而出。"
author,Made by Zoe,Hecho por Zoe,Fait par Zoe,Feito por Zoe,赵伊制作
lastUpdate,Last update 2025 January 25,Ultima actualizacion 25 de enero de 2025,Mise a jour le 25 janvier 2025,Ultima atualizacao 25 de janeiro de 2025,最后更新 2025年1月25日
languages,English,Espanol,Francais,Portugues,中文
menu,Menu,Menu,Menu,Menu,菜单
title,"Zoe's page","Página de Zoe","Page de Zoe","Página da Zoe","赵伊的页面"
freshTheme,"Default","Por defecto","Par défaut","Padrão","默认"
sweetTheme,"Sweet","Dulce","Doux","Doce","甜"
myProjects,My projects,Mis proyectos,Mes projets,Meus projetos,我的项目
shooterGame,Shooter Game,Juego de disparos,Jeu de tir,Jogo de tiro,射击游戏
shooterGameDescription,"A small 2D game made with Unity about a zombie apocalypse. The player has to survive, and has missions, various characters, items, weapons, and more.","Un pequeño juego 2D hecho con Unity sobre un apocalipsis zombie. El jugador tiene que sobrevivir, y tiene misiones, varios personajes, objetos, armas y más.","Un petit jeu 2D fait avec Unity sur une apocalypse zombie. Le joueur doit survivre, et a des missions, divers personnages, objets, armes et plus encore.","Um pequeno jogo 2D feito com Unity sobre um apocalipse zumbi. O jogador tem que sobreviver, e tem missões, vários personagens, itens, armas e mais.","一个用Unity制作的小型2D游戏，关于僵尸末日。玩家必须生存，并且有任务、各种角色、物品、武器等。"
shooterGameParagraph1,"This game was developed as an independent project in Unity using C#. It has a main menu, a level selection menu, and a game scene with a player, enemies, and items.","Este juego fue desarrollado como un proyecto independiente en Unity usando C#. Tiene un menú principal, un menú de selección de nivel y una escena de juego con un jugador, enemigos y objetos.","Ce jeu a été développé comme un projet indépendant dans Unity en utilisant C#. Il a un menu principal, un menu de sélection de niveau et une scène de jeu avec un joueur, des ennemis et des objets.","Este jogo foi desenvolvido como um projeto independente no Unity usando C#. Ele tem um menu principal, um menu de seleção de nível e uma cena de jogo com um jogador, inimigos e itens.","这个游戏是作为一个独立项目在Unity中使用C#开发的。它有一个主菜单，一个关卡选择菜单，以及一个包含玩家、敌人和物品的游戏场景。",
shooterGameAptitudes,"<ul> <li>Development in C#</li> <li>Game development with Unity</li> <li>Design of graphical interfaces</li> <li>Use of complex data structures</li> <li>Use of design patterns</li> </ul>","<ul> <li>Desarrollo en C#</li> <li>Desarrollo de juegos con Unity</li> <li>Diseño de interfaces gráficas</li> <li>Uso de estructuras de datos complejas</li> <li>Uso de patrones de diseño</li> </ul>","<ul> <li>Développement en C#</li> <li>Développement de jeux avec Unity</li> <li>Conception d'interfaces graphiques</li> <li>Utilisation de structures de données complexes</li> <li>Utilisation de modèles de conception</li> </ul>","<ul> <li>Sviluppo in C#</li> <li>Sviluppo di giochi con Unity</li> <li>Progettazione di interfacce grafiche</li> <li>Utilizzo di strutture dati complesse</li> <li>Utilizzo di pattern di progettazione</li> </ul>","<ul> <li>使用 C# 进行开发</li> <li>使用 Unity 进行游戏开发</li> <li>设计图形界面</li> <li>使用复杂数据结构</li> <li>使用设计模式</li> </ul>"
shooterGameCaption1,"Combat system and animations","Sistema de combate y animaciones","Système de combat et animations","Sistema de combate e animações","战斗系统和动画"
shooterGameCaption2,"Inventory system, items and weapons. Each item displays its properties and a description when hovered.","Sistema de inventario, objetos y armas. Cada objeto muestra sus propiedades y una descripción al pasar el cursor.","Système d'inventaire, objets et armes. Chaque objet affiche ses propriétés et une description au survol.","Sistema de inventário, itens e armas. Cada item exibe suas propriedades e uma descrição ao passar o mouse.","库存系统、物品和武器。每个物品在悬停时显示其属性和描述。"
visualNovelGame,Visual Novel Game,Juego de novela visual,Jeu de roman visuel,Jogo de romance visual,视觉小说游戏
